BORONAME,TYPE,PROVIDER,LAT,LON,LOCATION_T,CITY,BOROCODE
Brooklyn,Limited Free,SPECTRUM,40.62638,-74.01579,Outdoor TWC Aerial,Brooklyn,3
Brooklyn,Limited Free,SPECTRUM,40.626553,-74.016787,Outdoor TWC Aerial,Brooklyn,3
Brooklyn,Limited Free,SPECTRUM,40.715088,-73.960502,Indoor,Brooklyn,3
Staten Island,Limited Free,SPECTRUM,40.568366,-74.090642,Outdoor,Staten Island,5
Staten Island,Limited Free,SPECTRUM,40.569365,-74.08949,Outdoor,Staten Island,5
Staten Island,Limited Free,SPECTRUM,40.570195,-74.088547,Outdoor,Staten Island,5
Staten Island,Limited Free,SPECTRUM,40.571268,-74.087293,Outdoor,Staten Island,5
Staten Island,Limited Free,SPECTRUM,40.572313,-74.086013,Outdoor,Staten Island,5
Staten Island,Limited Free,SPECTRUM,40.573338,-74.084406,Outdoor,Staten Island,5
Bronx,Free,LinkNYC - Citybridge,40.850173,-73.910282,Outdoor Kiosk,Bronx,2
Queens,Free,LinkNYC - Citybridge,40.757446,-73.866434,Outdoor Kiosk,Queens,4
Manhattan,Free,LinkNYC - Citybridge,40.758777,-73.96584,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.724925,-74.005795,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.765193,-73.958062,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.811845,-73.957517,Outdoor Kiosk,New York,1
Staten Island,Free,LinkNYC - Citybridge,40.595456,-74.08621,Outdoor Kiosk,Staten Island,5
Manhattan,Free,LinkNYC - Citybridge,40.814103,-73.955865,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.848083,-73.93451,Outdoor Kiosk,New York,1
Queens,Limited Free,SPECTRUM,40.74726,-73.80286,Outdoor TWC Aerial,Queens,4
Queens,Limited Free,SPECTRUM,40.74914,-73.8027,Outdoor TWC Aerial,Queens,4
Queens,Limited Free,SPECTRUM,40.75,-73.80506,Outdoor TWC Aerial,Queens,4
Queens,Limited Free,SPECTRUM,40.75017,-73.80719,Outdoor TWC Aerial,Queens,4
Queens,Limited Free,SPECTRUM,40.74761,-73.8117,Outdoor TWC Aerial,Queens,4
3,Free,AT,T,40.6915,-73.9755,Outdoor,Brooklyn
3,Free,AT,T,40.6898,-73.9462,Outdoor,Brooklyn
Queens,Limited Free,SPECTRUM,40.74756,-73.81815,Outdoor TWC Aerial,Queens,4
Manhattan,Limited Free,SPECTRUM,40.742378,-73.988692,Outdoor,New York,1
